المعرف,الفئة,العنوان الأصلي,العنوان العربي/الترجمة الوصفية,المسؤولية العلمية,الناشر/المؤسسة,السنة,الطبعة/الأجزاء,ISBN/DOI,بيانات الدورية,بيانات المخطوط,النوع,اللغة,اللغة الأساسية,العصر,المحاور,النطاق الجغرافي,القيمة البحثية,مستوى القارئ,التقييم,سبب التقييم وحدود الاستخدام,رابط السجل/الناشر,رابط النص/المادة,الإتاحة,الحقوق,حالة التحقق,ما الذي فُحص فعليًا,أساس الوصف,فائدة المشروع,ملاحظات,ربط بـ v4.9,الإصدار,سجل التغيير,تاريخ التحقق,معرف المسار
LIB-PRI-001,مصدر أصلي,"The History of the Conquest of Egypt, North Africa and Spain, known as the Futūḥ Miṣr of Ibn ʿAbd al-Ḥakam",فتوح مصر والمغرب والأندلس لابن عبد الحكم (النص العربي المحقق),ابن عبد الحكم (ت 257هـ/871م)؛ تحقيق: Charles C. Torrey,"Yale University Press, New Haven",1922,مجلد واحد (65 + 369 ص),لم أتحقق,,,كتاب,عربية (مقدمة إنجليزية),عربية,الفتح والولاة,سياسة; عسكري; تأريخ ونقد مصادر,مصر؛ إفريقية؛ المغرب؛ الأندلس,أقدم رواية عربية مدوّنة عن فتح الأندلس (القرن 3هـ)؛ تساعد على مقارنة روايات الفتح (طارق وموسى، المائدة، يوليان) بالروايات الأندلسية المتأخرة.,بحثي متخصص,A,الطبعة النقدية المعيارية؛ الجزء الأندلسي قصير ومشبع بعناصر أسطورية يلزم نقدها.,https://archive.org/details/historyofconques00ibna,https://archive.org/details/historyofconques00ibna,نص كامل مجاني,غير متحقق (طبعة 1922؛ أرشيف الإنترنت لم يصرّح بترخيص في الصفحة),اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت صفحة أرشيف الإنترنت: الناشر Yale UP، نيوهيفن 1922، التحقيق لتوري، الوصف المادي. (تاريخ التحقق 2026-09-23),بيانات السجل + معرفة عامة بالمحتوى,خط زمني; مقال موسوعي; درس,ترجمة إنجليزية حديثة معلنة من جامعة كامبريدج (صفحة AMES) تعذّر فتحها (404)؛ لم أتحقق من بياناتها.,,v1.0,,2026-09-23,P-01
LIB-PRI-002,مصدر أصلي,أخبار مجموعة في فتح الأندلس وذكر أمرائها رحمهم الله والحروب الواقعة بها بينهم,أخبار مجموعة في فتح الأندلس,مؤلف مجهول؛ تحقيق: إبراهيم الأبياري,دار الكتاب المصري/دار الكتاب اللبناني (سلسلة المكتبة الأندلسية) — لم أتحقق من الناشر على صفحة فهرس,لم أتحقق,لم أتحقق,لم أتحقق,,,كتاب,عربية,عربية,الفتح والولاة; الإمارة,سياسة; عسكري; تأريخ ونقد مصادر,الأندلس,مجموعة روايات قرطبية عن الفتح وعصر الولاة وقيام الإمارة حتى عبد الرحمن الناصر؛ مصدر رئيس لأحداث بلاط وفتن الولاة.,متقدم,A,من أهم مصادر الفتح، لكن تاريخ تأليفه (القرن 4 أو 5هـ) ومؤلفه موضع خلاف؛ طبعة الأبياري تجارية التحقيق نسبيًا.,https://altair.imarabe.org/notice.php?q=id:21237,,شراء؛ نسخ مصورة على مواقع غير رسمية,غير متحقق,سجل ببليوغرافي فقط,سجل فهرس معهد العالم العربي ظهر في نتائج البحث بعنوان التحقيق واسم الأبياري؛ الصفحة نفسها حجبها تحقق أمني ولم تُفتح. (تاريخ التحقق 2026-09-23),معرفة عامة + عنوان السجل,خط زمني; مقال موسوعي; بطاقة شخصية,الطبعة الأقدم: Lafuente y Alcántara، مدريد 1867 مع ترجمة إسبانية (لم أتحقق). يُفضّل مقارنته بـ Chalmeta وبدراسات Molina حول تأريخ النص.,,v1.0,,2026-09-23,P-02
LIB-PRI-003,مصدر أصلي,تاريخ افتتاح الأندلس,تاريخ افتتاح الأندلس لابن القوطية,ابن القوطية (ت 367هـ)؛ تحقيق: عبد الله أنيس الطباع؛ مراجعة وفهارس: عمر فاروق الطباع,مؤسسة المعارف للطباعة والنشر، بيروت,1994,لم أتحقق,لم أتحقق,,,كتاب,عربية,عربية,الفتح والولاة; الإمارة,سياسة; مجتمع; الأديان والجماعات; تأريخ ونقد مصادر,الأندلس (قرطبة وإشبيلية),رواية مولّد من أصل قوطي تبرز دور أحفاد الملك غيطشة والموالي؛ تجيب عن سؤال: كيف رأت النخبة المولّدة الفتح والإمارة؟,متقدم,A,مصدر أولي فريد (مخطوط وحيد في باريس)؛ النص أمالٍ دوّنها تلاميذه، فيه اضطراب وقصصية.,https://archive.org/details/tokyo.elektro_20230720,https://archive.org/details/tokyo.elektro_20230720,نص كامل (نسخة مرفوعة على أرشيف الإنترنت),غير متحقق (رفع من مستخدم؛ الطبعة محفوظة الحقوق غالبًا),اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت صفحة أرشيف الإنترنت: المحقق والناشر والسنة. (تاريخ التحقق 2026-09-23),بيانات السجل,خط زمني; مقال موسوعي; درس,طبعة الأبياري (دار الكتاب المصري) متداولة أيضًا ولم أتحقق منها. ترجمة إنجليزية علمية: P-04.,,v1.0,,2026-09-23,P-03
LIB-PRI-004,مصدر أصلي,Early Islamic Spain: The History of Ibn al-Qūṭīya,إسبانيا الإسلامية المبكرة: تاريخ ابن القوطية (ترجمة ودراسة),ابن القوطية؛ ترجمة ودراسة: David James,"Routledge, London/New York (Culture and Civilization in the Middle East)",2009 (طبعة ورقية 2011),xi+174 ص، خرائط وجداول أنساب,9780415475525 (مجلد)؛ 9780415668552 (ورقي)؛ 9780203882672 (إلكتروني),,,كتاب,إنجليزية,إنجليزية,الفتح والولاة; الإمارة; الخلافة,سياسة; مجتمع; الأديان والجماعات; تأريخ ونقد مصادر,الأندلس,أول ترجمة إنجليزية كاملة مع دراسة للمخطوط الباريسي وحواشٍ وجداول أنساب؛ تصلح للقارئ غير العربي ولفريق المحتوى.,متقدم,A,ترجمة أكاديمية موثقة؛ بعض المراجعات انتقدت مواضع في الترجمة (لم أفحصها).,https://searchworks.stanford.edu/view/7928358,,شراء/استعارة,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل مكتبة ستانفورد (ISBNs والوصف المادي) وصفحة الناشر Routledge (الوصف). (تاريخ التحقق 2026-09-23),وصف ناشر + سجل مكتبة,مقال موسوعي; درس; بطاقة شخصية,نسخة مرفوعة في أرشيف الإنترنت (archive.org/details/early-islamic-spain-the-history-of-Ibn-al-qutiyah) غير مرخّصة غالبًا؛ لا يُعتمد عليها للنشر.,,v1.0,,2026-09-23,P-04
LIB-PRI-005,مصدر أصلي,Conquerors and Chroniclers of Early Medieval Spain,الفاتحون والإخباريون في إسبانيا في العصور الوسطى المبكرة (يتضمن ترجمة حولية 754 وحولية ألفونسو الثالث),ترجمة وتقديم: Kenneth Baxter Wolf,"Liverpool University Press (Translated Texts for Historians, vol. 9)",1990 (ط2 1999 — لم أتحقق من الطبعة الثانية),xvii+203 ص,9780853230472,,,كتاب,إنجليزية,إنجليزية,ما قبل الفتح; الفتح والولاة,سياسة; عسكري; الأديان والجماعات; تأريخ ونقد مصادر,هسبانيا القوطية؛ الأندلس؛ أستورياس,يضم الشاهد اللاتيني المعاصر الأهم للفتح (حولية 754 المستعربية) ورواية أستورياس (ألفونسو الثالث)؛ ضروري لموازنة الروايات العربية.,متقدم,A,سلسلة ترجمات علمية محكّمة؛ مقدمة 60 صفحة؛ ترجمة لا نص أصلي.,https://bmcr.brynmawr.edu/1991/1991.04.17/,,شراء/استعارة,غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت مراجعة Bryn Mawr Classical Review: الناشر والسنة والصفحات وISBN والنصوص الأربعة المترجمة. (تاريخ التحقق 2026-09-23),مراجعة علمية,خط زمني; مقال موسوعي; درس,النص اللاتيني النقدي للحولية: J. E. López Pereira (1980) — لم أتحقق.,,v1.0,,2026-09-23,P-05
LIB-PRI-006,مصدر أصلي,"Medieval Iberia: Readings from Christian, Muslim, and Jewish Sources (2nd ed.)",إيبيريا الوسيطة: نصوص مختارة من المصادر المسيحية والإسلامية واليهودية (ط2),تحرير: Olivia Remie Constable، بمساعدة Damian Zurro,"University of Pennsylvania Press, Philadelphia (The Middle Ages Series)",2012 (تاريخ الفهرس؛ صفحة الناشر تذكر 2011),ط2؛ xxxiii+601 ص (الناشر: 624 ص),9780812221688,,,كتاب,إنجليزية (مترجم من العربية واللاتينية والعبرية والقشتالية وغيرها),إنجليزية,شامل,سياسة; مجتمع; المرأة; الأديان والجماعات; مؤسسات/قضاء/إدارة; أدب وشعر,شبه الجزيرة الإيبيرية,مختارات مترجمة من القرن 8 إلى 15 مرتبة زمنيًا ومفهرسة موضوعيًا؛ أسرع مدخل لنصوص أولية متعددة الأديان لإعداد الدروس.,متوسط,A,مختارات أكاديمية مرجعية؛ مقتطفات لا نصوص كاملة، تُراجع الأصول للاستشهاد الدقيق.,https://searchworks.stanford.edu/view/9437488,,شراء/استعارة (نسخة ط1 للاستعارة الرقمية في أرشيف الإنترنت),غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل ستانفورد (الطبعة والصفحات وISBN وملخص المحتوى) وصفحة مدونة Penn Press. (تاريخ التحقق 2026-09-23) || v1.1: فتحت سجل Open Library لـ 9780812221688: ط2، University of Pennsylvania Press 2012، xxxiii+601 ص، The Middle Ages series — يؤكد 2012 تاريخاً للطبعة — تاريخ التحقق 2026-09-23,وصف ناشر + سجل مكتبة,درس; مقال موسوعي; مادة تعليمية,نسخ PDF على Scribd وpdfcoffee غير مرخّصة — مستبعدة.,,v1.0,v1.1: تأكيد دون تغيير,2026-09-23,P-06
LIB-PRI-007,مصدر أصلي,Christians and Moors in Spain. Vol. III: Arabic Sources (711–1501),المسيحيون والمسلمون في إسبانيا، ج3: المصادر العربية,Charles Melville و Ahmad Ubaydli (السلسلة بإشراف Colin Smith),Aris & Phillips، Warminster (Hispanic Classics),1992 (المجلد الثالث)؛ 1988 تاريخ بدء السلسلة (المجلد الأول),202 ص؛ نص عربي مقابل الترجمة,0856684503 / 9780856684500,,,كتاب,ثنائية (عربية-إنجليزية),عربية,شامل,سياسة; عسكري; الأديان والجماعات; مؤسسات/قضاء/إدارة,الأندلس والممالك المسيحية,112 نصًا عربيًا (معارك، سفارات، فتاوى، معاهدات) مع الأصل العربي؛ يجيب عن رؤية المسلمين للعلاقة مع الممالك المسيحية.,متوسط,A,مختارات علمية ثنائية اللغة؛ مقتطفات قصيرة.,https://books.google.com/books/about/Christians_and_Moors_in_Spain.html?id=zl4vDwAAQBAJ,,شراء؛ متاح أيضًا عبر JSTOR باشتراك (j.ctv16zjjpp — لم تُفتح الصفحة),غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,"فتحت سجل Google Books (الوصف وISBN وعدد النصوص). صفحة JSTOR لم تُحمَّل. (تاريخ التحقق 2026-09-23) || v1.1: فتحت نتائج Cambridge Core: مراجعة BSOAS 56.3 (أكتوبر 1993، ص644) تذكر المجلد III: Aris and Phillips، Warminster، 1992، 202 ص، £7.95؛ وسجل HathiTrust (MARC: Warminster: Aris & Phillips, 1988– ؛ v.3 Arabic sources (711–1501)) — سنة 1988 هي بداية السلسلة لا المجلد الثالث، وذكر OUP في سجل Google Books خطأ/توزيع — تاريخ التحقق 2026-09-23",وصف ناشر,درس; مقال موسوعي; خط زمني,المجلدان 1–2 (Colin Smith) يقدمان المصادر اللاتينية والقشتالية (711–1614) — لم أتحقق من بياناتهما منفردة.,,v1.0,"v1.1: publisher, year",2026-09-23,P-07
LIB-PRI-008,مصدر أصلي,Fatḥ al-Andalus (La conquista de al-Andalus),فتح الأندلس (مؤلف مجهول) — تحقيق وترجمة إسبانية,مؤلف مجهول؛ تحقيق وترجمة: Mayte Penelas,CSIC، مدريد (Fuentes Arábico-Hispanas),2002 (لم أتحقق من صفحة الناشر),لم أتحقق,لم أتحقق,,,كتاب,ثنائية (عربية-إسبانية),عربية,الفتح والولاة; الإمارة,سياسة; عسكري; تأريخ ونقد مصادر,الأندلس,نص متأخر يجمع روايات عن الفتح حتى القرن 4هـ، مع دراسة نقدية لمصادره.,بحثي متخصص,B,تحقيق علمي في سلسلة CSIC المعتمدة، لكن النص متأخر ومصادره ثانوية.,http://libros.csic.es/product_info.php?products_id=1940,,لم أتحقق,غير متحقق,سجل ببليوغرافي فقط,ظهر في نتائج البحث سجل Editorial CSIC وسجل libros.csic.es؛ فتح الصفحتين تعذّر (robots/إعادة توجيه). البيانات من عناوين نتائج البحث. (تاريخ التحقق 2026-09-23),عنوان السجل فقط,مقال موسوعي,استكمال: التحقق من السنة والرقم في السلسلة وISBN من موقع CSIC.,,v1.0,,2026-09-23,P-08
LIB-PRI-009,مصدر أصلي,Una descripción anónima de al-Andalus (Ḏikr bilād al-Andalus),وصف مجهول للأندلس (ذكر بلاد الأندلس) — تحقيق وترجمة,مؤلف مجهول؛ تحقيق وترجمة ومقدمة وحواشٍ وفهارس: Luis Molina,CSIC، مدريد,1983,مجلدان (نص وترجمة) — لم أتحقق,لم أتحقق,,,كتاب,ثنائية (عربية-إسبانية),عربية,شامل,جغرافيا; سياسة; مدن وعمران,الأندلس (وصف المدن والكور),يجمع وصفًا جغرافيًا وتاريخًا مختصرًا للأندلس حتى العصر الموحدي/النصري؛ مفيد لبطاقات المدن.,بحثي متخصص,B,تحقيق علمي موثوق؛ النص متأخر ويعتمد مصادر سابقة.,https://funci.org/benumeya/bny-72212/,,استعارة/شراء مستعمل,غير متحقق,سجل ببليوغرافي فقط,فتحت سجل مكتبة FUNCI (العنوان، المحقق، CSIC مدريد 1983). (تاريخ التحقق 2026-09-23),سجل مكتبة,خريطة; بطاقة مدينة; مقال موسوعي,انظر مقال Molina في Al-Qantara حول مؤلف النص.,,v1.0,,2026-09-23,P-09
LIB-PRI-010,مصدر أصلي,السفر الثاني من كتاب المقتبس,المقتبس لابن حيان — السفر الثاني (المقتبس II-1),ابن حيان القرطبي (ت 469هـ)؛ تحقيق: محمود علي مكي,مركز الملك فيصل للبحوث والدراسات الإسلامية، الرياض,2003 (ط1؛ سجل أرشيف الإنترنت يذكر 2002),لم أتحقق,لم أتحقق,,,كتاب,عربية,عربية,الإمارة,سياسة; مجتمع; أدب وشعر; مؤسسات/قضاء/إدارة,الأندلس,عهدا الحكم الأول وعبد الرحمن الأوسط؛ أهم نص عن تشكّل الدولة الأموية وثورة الربض وزرياب.,بحثي متخصص,A,تحقيق مكي معيار علمي.,https://search.worldcat.org/title/sifr-al-thani-min-kitab-al-muqtabas/oclc/54534305,https://archive.org/details/20240424_20240424_2207,نص كامل (نسخة مرفوعة),أرشيف الإنترنت يضع علامة Public Domain Mark على الرفع — تصنيف مشكوك فيه، غير متحقق,اطلاع على الفهرس/المقدمة/وصف الناشر,فتحت سجل WorldCat (OCLC 54534305) وصفحة أرشيف الإنترنت. (تاريخ التحقق 2026-09-23),سجل مكتبة,خط زمني; بطاقة شخصية; مقال موسوعي,موجود في v4.9: يثري بيانات الطبعة. ترجمة إسبانية: Makki & Corriente، Zaragoza 2001 — لم أتحقق.,SRC-001,v1.0,,2026-09-23,P-10
