الشاهد,الإسناد,القيمة,حالة الإسناد,المصدر,الموضع,النص,الموقف,المطابقة وطريقتها,ملاحظة,الرابط
ATT-001,AST-001,756,موثّق,دولة الإسلام في الأندلس,ج1 ص154 (بحسب ترقيم الشاملة للمطبوع)، الفصل الثاني: بعث الدولة الأموية في الأندلس,وبويع في الحال بالإمارة، وذلك في العاشر من ذى الحجة سنة ١٣٨هـ (١٣ مايو سنة ٧٥٦ م),يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),,https://shamela.ws/book/1009/152
ATT-002,AST-001,756,موثّق,Metropolitan Museum — Heilbrunn Timeline of Art History,فقرة عبد الرحمن الأول,'Abd al-Rahman I (r. 756–88) made Córdoba his capital,يدعم,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),معرّف LIB-ENC للـMet غير محدد في المهمة؛ تُرك فارغًا,https://www.metmuseum.org/essays/the-art-of-the-umayyad-period-in-spain-711-1031
ATT-003,AST-002,929,موثّق,دولة الإسلام في الأندلس,ج1 ص429 (بحسب ترقيم الشاملة للمطبوع)، الفصل الأول: ولاية عبد الرحمن الناصر,ونفذ الأمر بذلك في يوم الجمعة مستهل ذي الحجة سنة ٣١٦ هـ,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),١ ذو الحجة ٣١٦هـ ≈ ١٦ يناير ٩٢٩م (تحويل تقريبي، لا يرد في النص),https://shamela.ws/book/1009/421
ATT-004,AST-002,929,موثّق,Metropolitan Museum — Heilbrunn Timeline of Art History,فقرة عبد الرحمن الثالث,who became the first Spanish Umayyad amir to declare himself caliph (929),يدعم,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),,https://www.metmuseum.org/essays/the-art-of-the-umayyad-period-in-spain-711-1031
ATT-005,AST-003,929,موثّق,UNESCO — Historic Centre of Cordoba,Brief Synthesis,"In 929, Abderraman III established it as the headquarters of the independent Caliphate.",يدعم,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),,https://whc.unesco.org/en/list/313
ATT-006,AST-003,929,موثّق,The Coinage of al-Andalus,p. 74,"In the year 316/929 the eighth emir of al-Andalus, 'Abd al-Raḥmān III, was proclaimed caliph in Cordoba.",يدعم,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),,https://shedet.journals.ekb.eg/article_87829_4b1aefcbf0be7e09c877183df0d16b06.pdf
ATT-007,AST-004,1009–1031,موثّق جزئيًا,UNESCO — Historic Centre of Cordoba,Statement of Outstanding Universal Value,The Historic Centre of Córdoba is the highly relevant testimony to the Caliphate of Cordoba (929-1031),يدعم جزئيًا,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),يعطي 1031 نهايةً دون ذكر 1009,https://whc.unesco.org/en/list/313
ATT-008,AST-004,1009–1031,موثّق جزئيًا,دولة الإسلام في الأندلس,ج1 ص642 (بحسب ترقيم الشاملة للمطبوع)، الكتاب الرابع، الفصل الأول: الخلافة فى معترك الفتنة والفوضى,تربع محمد بن هشام الملقب بالمهدي على كرسي الخلافة، مكان الخليفة هشام المؤيد، في ١٧ جمادى الآخرة سنة ٣٩٩ هـ (١٦ فبراير سنة ١٠٠٩ م),يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),يدعم الحد الأول 1009,https://shamela.ws/book/1009/631
ATT-009,AST-005,1009,موثّق,دولة الإسلام في الأندلس,ج1 ص642 (بحسب ترقيم الشاملة للمطبوع)، الكتاب الرابع، الفصل الأول,تربع محمد بن هشام الملقب بالمهدي على كرسي الخلافة، مكان الخليفة هشام المؤيد، في ١٧ جمادى الآخرة سنة ٣٩٩ هـ (١٦ فبراير سنة ١٠٠٩ م),يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),,https://shamela.ws/book/1009/631
ATT-010,AST-005,1009,موثّق,UNESCO — Caliphate City of Medina Azahara,Description,laid to waste during the civil war that put an end to the Caliphate in 1009-1010,يدعم جزئيًا,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),يؤرخ الحرب الأهلية بـ1009–1010,https://whc.unesco.org/en/list/1560
