event_id,الحدث,البداية,النهاية,الدقة,الهجري,place_id,period_id,persons,polity_id,الثقة,مراجع v4.9
EVT-001,فتح شبه الجزيرة وبداية الأندلس,711,711,سنة,92هـ,,PRD-01,,,عالٍ (الحدث)؛ التفاصيل مختلف فيها,EVT-001; CLM-002
EVT-002,قيام الإمارة الأموية,756,756,سنة,138هـ,PLC-001,PRD-02,PER-001,POL-001,عالٍ,EVT-002
EVT-003,إعلان الخلافة,929,929,سنة,316هـ,PLC-001,PRD-03,PER-002,POL-002,عالٍ,EVT-003; EVT-B01; CLM-001
EVT-004,بدء بناء مدينة الزهراء,936,936,سنة,محرم 325هـ,PLC-002,PRD-03,PER-002,POL-002,عالٍ,EVT-004
EVT-005,انهيار الخلافة (الفتنة),1009,1031,نطاق سنوات,399–422هـ,PLC-001,PRD-03a,,POL-002,عالٍ,EVT-005; EVT-B02
EVT-006,سقوط طليطلة,1085,1085,سنة,478هـ,PLC-005,PRD-04,,,عالٍ,EVT-006
EVT-007,التدخل المرابطي (الزلاقة وما بعدها),1086,,سنة,479هـ,,PRD-05,,POL-006,متوسط,EVT-007
EVT-008,قيام الدولة النصرية (البيعة ثم دخول غرناطة),1232,1238,نطاق سنوات,629–635هـ,PLC-003,PRD-07,PER-030,POL-008,عالٍ,EVT-008
EVT-009,تسليم غرناطة,1492,1492,يوم,2 يناير 1492م (ربيع الأول 897هـ),PLC-003,PRD-07,PER-031,POL-008,عالٍ,EVT-009
EVT-010,طرد الموريسكيين,1609,1614,نطاق سنوات,1018–1023هـ,,PRD-08,,,عالٍ,EVT-010
EVT-012,خراب مدينة الزهراء في الفتنة,1010,1025,نطاق سنوات,401–416هـ,PLC-002,PRD-03a,,POL-002,عالٍ,جديد v5.2
EVT-011,سك دينار يوسف بن تاشفين في شاطبة,1103,1104,نطاق سنوات,497هـ,,PRD-05,,POL-006,عالٍ,EVT-B03; COIN-005
EVT-013,دخول محمد الأول غرناطة,1238,1238,سنة,635هـ,PLC-003,PRD-07,PER-030,POL-008,عالٍ,جديد v5.3
EVT-014,معاهدة جيان وتبعية غرناطة لقشتالة,1245,1246,نطاق سنوات,643هـ,,PRD-07,PER-030,POL-008,عالٍ,جديد v5.3
EVT-015,معركة طريف (نهر سالادو),1340,1340,يوم,30 أكتوبر 1340م (جمادى الأولى 741هـ),,PRD-07,PER-033,POL-008,عالٍ,جديد v5.3
EVT-016,بناء قصر الأسود في الحمراء,1362,1391,نطاق سنوات,ق8هـ,PLC-G01,PRD-07,PER-034,POL-008,عالٍ,جديد v5.3
EVT-017,سقوط مالقة,1487,1487,سنة,أواخر شعبان 892هـ (أغسطس 1487م),PLC-010,PRD-07,,POL-008,عالٍ,جديد v5.3
EVT-018,معاهدة تسليم غرناطة,1491,1491,يوم,25 نوفمبر 1491م (21 محرم 897هـ),PLC-003,PRD-07,PER-031,POL-008,عالٍ,جديد v5.3
EVT-019,ثورة البشرات الأولى,1499,1501,نطاق سنوات,905–906هـ,PLC-G06,PRD-08,,,متوسط,جديد v5.3
EVT-020,التنصير القسري لمسلمي قشتالة (الأمر الملكي 12 فبراير 1502),1502,1502,يوم,نحو 4 شعبان 907هـ (بالحساب الجدولي),,PRD-08,,,متوسط,جديد v5.3
EVT-021,مقتل لسان الدين ابن الخطيب في فاس,1374,1375,نطاق سنوات,776هـ (بين مستهلّها وشوالها),,PRD-07,PER-018,,عالٍ,جديد v5.3
