person_id,الشهرة,اسم العلم (ism),الكنية (kunya),النسب (nasab),النسبة (nisba),اللقب (laqab),الأصل,الإجراء
PER-001,عبد الرحمن الداخل,عبد الرحمن,أبو المطرف,بن معاوية بن هشام بن عبد الملك,الأموي,الداخل,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-002,عبد الرحمن الثالث الناصر,عبد الرحمن,أبو المطرف,بن محمد بن عبد الله,الأموي,الناصر لدين الله,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-003,الحكم المستنصر بالله,الحكم,أبو العاص,بن عبد الرحمن الناصر,الأموي,المستنصر بالله,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-004,المنصور ابن أبي عامر,محمد,أبو عامر,بن عبد الله بن أبي عامر,المعافري,المنصور,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-005,ابن حيان القرطبي,حيان,أبو مروان,بن خلف بن حسين بن حيان,القرطبي,,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-006,ابن حزم,علي,أبو محمد,بن أحمد بن سعيد بن حزم,القرطبي; الظاهري,,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-007,ابن زيدون,أحمد,أبو الوليد,بن عبد الله بن زيدون,المخزومي,,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-008,ولادة بنت المستكفي,ولادة,,بنت محمد المستكفي,الأموية,,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-009,المعتمد بن عباد,محمد,أبو القاسم,بن عباد بن محمد,,المعتمد على الله,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-011,صاعد الأندلسي,صاعد,أبو القاسم,بن أحمد,الأندلسي; الطليطلي,,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-012,الزهراوي,خلف,أبو القاسم,بن عباس,الزهراوي,,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
PER-013,الزرقالي,إبراهيم,أبو إسحاق,بن يحيى,النقاش,الزرقالي,ref — معرفة مرجعية عامة تُطابق قبل النشر,مطابقة مع PUA ثم رفع الأصل إلى «متحقق من المصدر»
