person_id,الشهرة,الاسم اللاتيني,الميلاد (م),الوفاة (م),ملاحظة التاريخ (نص الأصل),الأدوار,الأماكن (place_id),الأصل
PER-001,عبد الرحمن الداخل,ʿAbd al-Raḥmān I,731,788,,أمير,PLC-001,v4.9
PER-002,عبد الرحمن الثالث الناصر,ʿAbd al-Raḥmān III,891,961,ولد 22 رمضان 277هـ (= 7 يناير 891م بالتحويل الجدولي)؛ صُحح من 889 في v5.2,أمير; خليفة,PLC-001; PLC-002,v4.9
PER-003,الحكم المستنصر بالله,al-Ḥakam II,915,976,,خليفة,PLC-001,v4.9
PER-004,المنصور ابن أبي عامر,al-Manṣūr Ibn Abī ʿĀmir,939,1002,توفي 27 رمضان 392هـ (أغسطس 1002م) بمدينة سالم (البيان المغرب)؛ 393هـ عند الحميدي؛ المولد نحو 326–328هـ (938–940م),حاجب; قائد,PLC-001; PLC-D03,v4.9
PER-005,ابن حيان القرطبي,Ibn Ḥayyān,987,1076,,مؤرخ,PLC-001,v4.9
PER-006,ابن حزم,Ibn Ḥazm,994,1064,,فقيه; أديب,PLC-001,v4.9
PER-007,ابن زيدون,Ibn Zaydūn,1003,1071,,شاعر; كاتب,PLC-001; PLC-004,v4.9
PER-008,ولادة بنت المستكفي,Wallāda bint al-Mustakfī,,,نحو 994–1091م,شاعرة,PLC-001,v4.9
PER-009,المعتمد بن عباد,al-Muʿtamid ibn ʿAbbād,1040,1095,,ملك طائفة; شاعر,PLC-004,v4.9
PER-010,ابن عمار,Ibn ʿAmmār,1031,1086,,شاعر; وزير,PLC-004; PLC-014,v4.9
PER-011,صاعد الأندلسي,Ṣāʿid al-Andalusī,1029,1070,,قاضٍ; مؤرخ علوم,PLC-005,v4.9
PER-012,الزهراوي,al-Zahrāwī,,,توفي بعد 400هـ (الصلة ص162)، وعاصره ابن حزم (رسائله ج2 ص185)؛ نحو 936–1013م عند Britannica، والوفاة 427هـ/1036م عند الزركلي — لا نص أوليًا بسنة الوفاة,طبيب,PLC-001; PLC-002,v4.9
PER-013,الزرقالي,al-Zarqālī,,,القرن 11م,فلكي,PLC-005,v4.9
PER-014,ابن باجة,Ibn Bājja,,1139,,فيلسوف; طبيب,PLC-006,v4.9
PER-015,ابن طفيل,Ibn Ṭufayl,,1185,نحو 1105–1185م,فيلسوف; طبيب,PLC-003; PLC-C06,v4.9
PER-016,ابن رشد,Ibn Rushd,1126,1198,,فيلسوف; فقيه; طبيب; قاضٍ,PLC-001; PLC-004,v4.9
PER-017,ابن عربي,Ibn ʿArabī,1165,1240,,متصوف,PLC-011; PLC-004,v4.9
PER-018,لسان الدين ابن الخطيب,Ibn al-Khaṭīb,1313,1374,ولد 25 رجب 713هـ (نوفمبر 1313م) بنص الإحاطة ج4 ص548؛ قُتل خنقًا في سجنه بفاس سنة 776هـ، بين مستهلّها وشوالها (منتصف 1374م إلى أوائل 1375م) بحسب ابن خلدون: العبر ج7 ص452–453، والرحلة ص187,وزير; مؤرخ; أديب,PLC-003,v4.9
PER-019,ابن سعيد المغربي,Ibn Saʿīd al-Maghribī,1213,1286,,جغرافي; أديب,,v4.9
PER-020,الإدريسي,al-Idrīsī,,,نحو 1100–1165/66م,جغرافي,,v4.9
PER-021,ابن البيطار,Ibn al-Bayṭār,,1248,,عالم نبات,PLC-010,v4.9
PER-022,ابن قزمان,Ibn Quzmān,,1160,نحو 1087–1160م,شاعر زجل,PLC-001,v4.9
PER-023,حفصة الركونية,Ḥafṣa al-Rakūniyya,,,القرن 12م,شاعرة,PLC-003,v4.9
PER-024,صموئيل بن نغريلة,Samuel ibn Naghrīla,993,,ت 1055/56م,وزير; قائد; شاعر,PLC-001; PLC-003,v4.9
PER-025,يهوذا اللاوي,Judah Halevi,,1141,نحو 1075–1141م,شاعر; مفكر,,v4.9
PER-026,موسى بن عزرا,Moses ibn Ezra,,,نحو 1055–بعد 1135م,شاعر; ناقد,PLC-003,v4.9
PER-027,عباس بن ناصح,ʿAbbās b. Nāṣiḥ,,,ت نحو 852م,قاضٍ; شاعر,PLC-C05; PLC-001,v4.9
PER-W01,عائشة بنت أحمد القرطبية,ʿĀʾisha bint Aḥmad al-Qurṭubiyya,,1010,ت 1009–1010م,شاعرة; ناسخة,PLC-001,v4.9
PER-W02,أم الحسن الطنجالية,Umm al-Ḥasan al-Tanyāliyya,,,منتصف 14م,شاعرة; طبيبة,PLC-003,v4.9
PER-028,المقتدر بن هود,al-Muqtadir ibn Hūd,,1081,حكم 1046–1081م (v4.9),ملك طائفة,PLC-006; PLC-C03,v5.1 (من ورقة الحكام)
PER-029,مجاهد العامري,Mujāhid al-ʿĀmirī,,,القرن 11م — يحتاج ضبط السنوات,ملك طائفة,PLC-008,v5.1 (من ورقة الحكام)
PER-030,محمد الأول ابن الأحمر,Muḥammad I ibn al-Aḥmar,1194,1273,ولد 591هـ (عام الأرك) بأرجونة؛ بويع بغرناطة 26 رمضان 635هـ؛ توفي 29 جمادى الآخرة 671هـ (الإحاطة ج2 ص55–56),سلطان,PLC-003,v5.1 (من ورقة الحكام)
PER-031,محمد الثاني عشر أبو عبد الله,Muḥammad XII (Boabdil),,,حكم 1482–1483 و1487–1492م,سلطان,PLC-003,v5.1 (من ورقة الحكام)
PER-032,محمد الثاني الفقيه,Muḥammad II al-Faqīh,,1302,توفي شعبان 701هـ (أبريل–مايو 1302م),سلطان,PLC-003,v4.9
