loc_id,place_id,lat,lon,درجة اليقين,الأساس
LOC-001,PLC-001,37.8792,-4.7794,تقريبي — مركز المدينة الحديثة,إحداثيات v4.9 (المعجم الجغرافي)
LOC-002,PLC-002,37.8859,-4.8677,مؤكد — موقع أثري محدد,UNESCO WHC 1560 (N37 53 9.2 W4 52 3.7)
LOC-003,PLC-003,37.1773,-3.5986,تقريبي — مركز المدينة الحديثة,إحداثيات v4.9 (المعجم الجغرافي)
LOC-004,PLC-004,37.3891,-5.9845,تقريبي — مركز المدينة الحديثة,إحداثيات v4.9 (المعجم الجغرافي)
LOC-005,PLC-005,39.8628,-4.0273,تقريبي — مركز المدينة الحديثة,إحداثيات v4.9 (المعجم الجغرافي)
LOC-006,PLC-006,41.6488,-0.8891,تقريبي — مركز المدينة الحديثة,إحداثيات v4.9 (المعجم الجغرافي)
LOC-007,PLC-007,36.834,-2.4637,تقريبي — مركز المدينة الحديثة,إحداثيات v4.9 (المعجم الجغرافي)
LOC-008,PLC-008,38.8408,0.1057,تقريبي — مركز المدينة الحديثة,إحداثيات v4.9 (المعجم الجغرافي)
LOC-009,PLC-009,39.4699,-0.3763,تقريبي — مركز المدينة الحديثة,إحداثيات v4.9 (المعجم الجغرافي)
LOC-010,PLC-010,36.7213,-4.4214,تقريبي — مركز المدينة الحديثة,إحداثيات v4.9 (المعجم الجغرافي)
LOC-011,PLC-011,37.9922,-1.1307,تقريبي — مركز المدينة الحديثة,إحداثيات v4.9 (المعجم الجغرافي)
LOC-012,PLC-012,38.8794,-6.9707,تقريبي — مركز المدينة الحديثة,إحداثيات v4.9 (المعجم الجغرافي)
LOC-013,PLC-013,37.6382,-7.6639,مؤكد — موقع أثري محدد,إحداثيات v4.9 (المعجم الجغرافي)
LOC-014,PLC-014,37.1892,-8.4382,تقريبي — مركز المدينة الحديثة,إحداثيات v4.9 (المعجم الجغرافي)
LOC-015,PLC-015,38.7223,-9.1393,تقريبي — مركز المدينة الحديثة,إحداثيات v4.9 (المعجم الجغرافي)
LOC-016,PLC-016,39.2369,-8.685,تقريبي — مركز المدينة الحديثة,إحداثيات v4.9 (المعجم الجغرافي)
LOC-017,PLC-017,38.0151,-7.8632,تقريبي — مركز المدينة الحديثة,إحداثيات v4.9 (المعجم الجغرافي)
LOC-018,PLC-018,38.9161,-6.3437,تقريبي — مركز المدينة الحديثة,إحداثيات v4.9 (المعجم الجغرافي)
LOC-019,PLC-019,42.1401,-0.4089,تقريبي — مركز المدينة الحديثة,إحداثيات v4.9 (المعجم الجغرافي)
LOC-020,PLC-020,40.8125,0.5216,تقريبي — مركز المدينة الحديثة,إحداثيات v4.9 (المعجم الجغرافي)
LOC-021,PLC-C01,37.1858,-3.5925,تقريبي — منطقة,GeoNames 2518754 El Albaicín (N 37°11′9″ W 3°35′33″)
LOC-022,PLC-C02,,,مجهول — لا إحداثيات,لم تُسجَّل إحداثيات في v4.9؛ لا تُخترع
LOC-023,PLC-C03,,,مجهول — لا إحداثيات,لم تُسجَّل إحداثيات في v4.9؛ لا تُخترع
LOC-024,PLC-C04,36.7422,-5.1669,تقريبي — مركز المدينة الحديثة,GeoNames 2511730 Ronda (N 36°44′32″ W 5°10′1″)
LOC-025,PLC-C05,36.1331,-5.4503,تقريبي — مركز المدينة الحديثة,GeoNames 2522013 Algeciras (N 36°7′59″ W 5°27′1″)
LOC-026,PLC-C06,37.2992,-3.1392,تقريبي — مركز المدينة الحديثة,GeoNames 2516925 Guadix (N 37°17′57″ W 3°8′21″)
LOC-027,PLC-D01,,,مجهول — لا إحداثيات,لم تُسجَّل إحداثيات في v4.9؛ لا تُخترع
LOC-028,PLC-D02,,,مجهول — لا إحداثيات,لم تُسجَّل إحداثيات في v4.9؛ لا تُخترع
LOC-029,PLC-D03,,,مجهول — لا إحداثيات,لم تُسجَّل إحداثيات في v4.9؛ لا تُخترع
LOC-030,PLC-D04,,,مجهول — لا إحداثيات,لم تُسجَّل إحداثيات في v4.9؛ لا تُخترع
LOC-031,PLC-G01,37.1768,-3.5899,مؤكد — موقع أثري محدد,UNESCO 314 (property coordinates N37 10 36.4 W3 35 23.7); consistent with GeoNames 7302839 Alhambra (N 37°10′36″ W 3°35′23″)
LOC-032,PLC-G02,37.1778,-3.5853,مؤكد — موقع أثري محدد,GeoNames 8849185 Palacio de Generalife (N 37°10′40″ W 3°35′7″)
LOC-033,PLC-G03,37.4906,-2.7725,تقريبي — مركز المدينة الحديثة,GeoNames 2521215 Baza (N 37°29′26″ W 2°46′21″)
LOC-034,PLC-G04,37.1686,-4.1511,تقريبي — مركز المدينة الحديثة,GeoNames 2514946 Loja (N 37°10′7″ W 4°9′4″)
LOC-035,PLC-G05,36.7322,-3.6917,تقريبي — مركز المدينة الحديثة,GeoNames 2521847 Almuñécar (N 36°43′56″ W 3°41′30″)
LOC-036,PLC-G06,,,مجهول — لا إحداثيات,لم تُسجَّل إحداثيات في v4.9؛ لا تُخترع
