name_id,place_id,الاسم,اللغة (BCP-47),نوع الاسم,الفترة (period_id),الأصل
PLN-001,PLC-001,Qurṭuba,ar-Latn,نقحرة علمية,,v4.9
PLN-002,PLC-001,Córdoba,es,حديث رسمي,,v4.9
PLN-003,PLC-002,Madīnat al-Zahrāʾ,ar-Latn,نقحرة علمية,,v4.9
PLN-004,PLC-002,Medina Azahara,es,حديث رسمي,,v4.9
PLN-005,PLC-003,Gharnāṭa,ar-Latn,نقحرة علمية,,v4.9
PLN-006,PLC-003,Granada,es,حديث رسمي,,v4.9
PLN-007,PLC-004,Ishbīliya,ar-Latn,نقحرة علمية,,v4.9
PLN-008,PLC-004,Sevilla,es,حديث رسمي,,v4.9
PLN-009,PLC-005,Ṭulayṭula,ar-Latn,نقحرة علمية,,v4.9
PLN-010,PLC-005,Toledo,es,حديث رسمي,,v4.9
PLN-011,PLC-006,Saraqusṭa,ar-Latn,نقحرة علمية,,v4.9
PLN-012,PLC-006,Zaragoza,es,حديث رسمي,,v4.9
PLN-013,PLC-007,al-Mariyya,ar-Latn,نقحرة علمية,,v4.9
PLN-014,PLC-007,Almería,es,حديث رسمي,,v4.9
PLN-015,PLC-008,Dāniya,ar-Latn,نقحرة علمية,,v4.9
PLN-016,PLC-008,Dénia,es,حديث رسمي,,v4.9
PLN-017,PLC-009,Balansiya,ar-Latn,نقحرة علمية,,v4.9
PLN-018,PLC-009,Valencia,es,حديث رسمي,,v4.9
PLN-019,PLC-010,Mālaqa,ar-Latn,نقحرة علمية,,v4.9
PLN-020,PLC-010,Málaga,es,حديث رسمي,,v4.9
PLN-021,PLC-011,Mursiya,ar-Latn,نقحرة علمية,,v4.9
PLN-022,PLC-011,Murcia,es,حديث رسمي,,v4.9
PLN-023,PLC-012,Baṭalyaws,ar-Latn,نقحرة علمية,,v4.9
PLN-024,PLC-012,Badajoz,es,حديث رسمي,,v4.9
PLN-025,PLC-013,Mārtula,ar-Latn,نقحرة علمية,,v4.9
PLN-026,PLC-013,Mértola,pt,حديث رسمي,,v4.9
PLN-027,PLC-014,Shilb,ar-Latn,نقحرة علمية,,v4.9
