tenure_id,person_id,polity_id,المنصب,البداية,النهاية,الدقة,ملاحظة,مرجع v4.9
TEN-001,PER-001,POL-001,أمير,756,788,سنة,مؤسس الإمارة الأموية المستقلة,RUL-001
TEN-002a,PER-002,POL-001,أمير,912,929,سنة,إمارة حتى إعلان الخلافة,RUL-002
TEN-002b,PER-002,POL-002,خليفة,929,961,سنة,أعلن الخلافة 929م,RUL-002
TEN-003,PER-003,POL-002,خليفة,961,976,سنة,,RUL-003
TEN-004,PER-009,POL-003,ملك طائفة,1069,1091,سنة,آخر أبرز حكام بني عباد,RUL-004
TEN-005,PER-028,POL-004,ملك طائفة,1046,1081,سنة,مرتبط بقصر الجعفرية,RUL-005
TEN-006,PER-029,POL-005,ملك طائفة,,,قرن,القرن 11م — يحتاج ضبط السنوات,RUL-006
TEN-007,PER-030,POL-008,سلطان,1232,1273,نطاق سنوات,«تقريبًا» في v4.9,RUL-007
TEN-009,PER-032,POL-008,سلطان,1273,1302,سنة,,
TEN-010,PER-033,POL-008,سلطان,1333,1354,سنة,,
TEN-011a,PER-034,POL-008,سلطان,1354,1359,سنة,الولاية الأولى,
TEN-011b,PER-034,POL-008,سلطان,1362,1391,سنة,الولاية الثانية,
TEN-012a,PER-036,POL-008,سلطان,1464,1482,نطاق سنوات,البداية 868هـ (1463/1464م) عند عنان؛ 1466 عند Britannica — يُفحص في Fábregas,
TEN-012b,PER-036,POL-008,سلطان,1483,1485,سنة,,
TEN-013,PER-037,POL-008,سلطان,1485,1487,سنة,,
TEN-008a,PER-031,POL-008,سلطان,1482,1483,سنة,الولاية الأولى,RUL-008
TEN-008b,PER-031,POL-008,سلطان,1487,1492,سنة,الولاية الثانية,RUL-008
